year,week,start_date,end_date,district,leptospirosis_cases_week,leptospirosis_cases_cumulative,parse_method,source_pdf
2007,8,2007.02.17,2007.02.23,Puttalam,0,3,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Anuradhapura,0,8,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Polonnaruwa,2,11,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Badulla,2,11,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Monaragala,1,10,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Ratnapura,2,12,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Kegalle,0,20,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,9,2007.02.24,2007.03.02,Colombo,0,24,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Gampaha,5,14,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Kalutara,1,19,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Kandy,5,24,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Matale,1,12,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Nuwara Eliya,0,4,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Galle,2,15,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Hambantota,3,12,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Matara,1,20,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Jaffna,0,0,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Mannar,0,0,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Vavuniya,0,2,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
2007,9,2007.02.24,2007.03.02,Batticaloa,0,0,pymupdf_v10,pdfs\2007_w09_vol_34_no_09_english.pdf
